"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",8664,0,0,0,0,,
"2019-01-02 00:00:00",10915,0,0,0,0,,
"2019-01-03 00:00:00",2873,0,0,0,0,,
"2019-01-04 00:00:00",0,0,0,0,0,,
"2019-01-05 00:00:00",0,0,0,0,0,,
"2019-01-06 00:00:00",0,42854,0,0,0,,
"2019-01-07 00:00:00",1949,0,0,0,0,9607.857142857143,
"2019-01-08 00:00:00",4618,0,0,0,0,9029.857142857143,
"2019-01-09 00:00:00",5019,0,1166,0,0,8354.142857142857,
"2019-01-10 00:00:00",0,0,0,0,0,7943.714285714285,
"2019-01-11 00:00:00",7998,5778,0,0,0,9911.857142857143,
"2019-01-12 00:00:00",0,0,0,0,3446,10404.142857142857,
"2019-01-13 00:00:00",16465,0,8394,0,0,7833.428571428572,
"2019-01-14 00:00:00",3440,0,0,0,5202,8789.57142857143,
"2019-01-15 00:00:00",5957,0,0,0,0,8980.857142857143,
"2019-01-16 00:00:00",18666,0,0,0,0,10763.857142857143,
"2019-01-17 00:00:00",1839,0,0,0,3446,11518.857142857143,
"2019-01-18 00:00:00",12587,0,1299,0,0,11534.57142857143,
"2019-01-19 00:00:00",0,0,0,0,0,11042.285714285714,
"2019-01-20 00:00:00",0,24354,0,0,26162,14707.57142857143,
"2019-01-21 00:00:00",4639,0,1439,0,19524,17130.571428571428,
"2019-01-22 00:00:00",7636,0,0,0,0,17370.428571428572,
"2019-01-23 00:00:00",0,0,0,0,40552,20497,
"2019-01-24 00:00:00",6407,0,0,0,0,20657.285714285714,
"2019-01-25 00:00:00",7132,0,1190,0,0,19862.428571428572,
"2019-01-26 00:00:00",4639,0,1190,0,0,20695.285714285714,
"2019-01-27 00:00:00",9122,0,0,0,41101,20653.428571428572,
"2019-01-28 00:00:00",0,42473,0,0,0,23063.428571428572,
"2019-01-29 00:00:00",4639,0,0,0,0,22635.285714285714,
"2019-01-30 00:00:00",8686,0,0,0,0,18083,
"2019-01-31 00:00:00",4603,0,0,0,0,17825.285714285714,
