"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",14288,0,0,0,0,,
"2019-01-02 00:00:00",28800,0,0,0,0,,
"2019-01-03 00:00:00",30737,53465,1348,0,0,,
"2019-01-04 00:00:00",0,0,0,4670,146734,,
"2019-01-05 00:00:00",9061,0,0,0,133704,,
"2019-01-06 00:00:00",0,0,0,0,4681,,
"2019-01-07 00:00:00",0,0,0,0,24199,64527,
"2019-01-08 00:00:00",22440,0,0,0,0,65691.57142857143,
"2019-01-09 00:00:00",32386,0,0,0,155744,88453,
"2019-01-10 00:00:00",32548,0,0,0,0,80881.28571428571,
"2019-01-11 00:00:00",0,118090,0,0,35405,81179.85714285714,
"2019-01-12 00:00:00",15393,0,0,0,24199,66440.71428571429,
"2019-01-13 00:00:00",41104,0,0,0,10606,73159.28571428571,
"2019-01-14 00:00:00",0,56292,0,0,0,77744,
"2019-01-15 00:00:00",15006,0,5460,0,2254,77784.14285714286,
"2019-01-16 00:00:00",26639,0,0,0,51417,62059.28571428572,
"2019-01-17 00:00:00",27831,0,14709,0,0,63486.71428571428,
"2019-01-18 00:00:00",37889,0,0,0,12976,48825.28571428572,
"2019-01-19 00:00:00",12735,0,2801,0,0,45388.71428571428,
"2019-01-20 00:00:00",9357,0,0,0,153097,61209.142857142855,
"2019-01-21 00:00:00",0,50695,0,0,0,60409.57142857143,
"2019-01-22 00:00:00",19450,0,0,482,0,60011.28571428572,
"2019-01-23 00:00:00",26589,0,1348,0,9576,54219.57142857143,
"2019-01-24 00:00:00",38803,0,0,0,12714,55502.142857142855,
"2019-01-25 00:00:00",10264,0,0,0,139738,69664.57142857143,
"2019-01-26 00:00:00",10439,26977,0,482,0,72859.28571428571,
"2019-01-27 00:00:00",0,0,0,3612,0,50167.57142857143,
"2019-01-28 00:00:00",34626,0,8321,0,76842,60038.42857142857,
"2019-01-29 00:00:00",13784,0,0,0,446,59223.71428571428,
"2019-01-30 00:00:00",21943,0,0,0,0,56999.28571428572,
"2019-01-31 00:00:00",18721,50128,40,0,0,59481.142857142855,
"2019-02-01 00:00:00",8589,0,0,0,91872,52403.857142857145,
"2019-02-02 00:00:00",16111,15042,0,0,143494,71939.42857142857,
"2019-02-03 00:00:00",7699,0,0,0,0,72523.28571428571,
"2019-02-04 00:00:00",7444,0,1674,0,0,56713,
"2019-02-05 00:00:00",19505,0,0,0,628,57556.42857142857,
"2019-02-06 00:00:00",23599,0,12712,0,1449,59816.142857142855,
"2019-02-07 00:00:00",10036,0,3900,0,0,51965.42857142857,
"2019-02-08 00:00:00",56122,15042,0,0,4203,48380.71428571428,
"2019-02-09 00:00:00",10327,0,346,0,0,24955.714285714286,
"2019-02-10 00:00:00",0,0,0,0,54614,31657.85714285714,
"2019-02-11 00:00:00",0,0,3336,0,0,30831.714285714286,
"2019-02-12 00:00:00",16535,0,0,0,0,30317.571428571428,
"2019-02-13 00:00:00",16652,0,0,0,32614,31961.14285714286,
"2019-02-14 00:00:00",47983,0,0,0,0,36825,
"2019-02-15 00:00:00",661,0,0,0,145180,46892.71428571428,
"2019-02-16 00:00:00",11769,0,0,0,0,47049.28571428572,
"2019-02-17 00:00:00",7699,0,415,0,171524,64910,
"2019-02-18 00:00:00",0,48472,0,0,4903,72058.42857142857,
"2019-02-19 00:00:00",18798,0,555,0,18386,75087.71428571429,
"2019-02-20 00:00:00",9764,0,1743,0,83118,81567.85714285714,
"2019-02-21 00:00:00",0,0,14338,0,0,76761.42857142857,
"2019-02-22 00:00:00",7131,0,0,0,44824,63349.142857142855,
"2019-02-23 00:00:00",8371,0,0,0,0,62863.71428571428,
"2019-02-24 00:00:00",0,0,0,0,134570,56425.28571428572,
"2019-02-25 00:00:00",19621,0,1042,0,0,51752.142857142855,
"2019-02-26 00:00:00",8341,19685,1803,1058,25698,54444.57142857143,
"2019-02-27 00:00:00",17045,0,30419,0,0,47707,
"2019-02-28 00:00:00",21197,0,1293,0,80769,60410.142857142855,
"2019-03-01 00:00:00",7699,0,0,0,56028,62091.857142857145,
"2019-03-02 00:00:00",6377,0,6612,0,6979,63748.71428571428,
"2019-03-03 00:00:00",0,0,0,0,39983,50236.28571428572,
"2019-03-04 00:00:00",0,0,6969,0,0,48280,
"2019-03-05 00:00:00",16060,0,0,0,4062,43070.71428571428,
"2019-03-06 00:00:00",7610,0,0,0,141304,57563.71428571428,
"2019-03-07 00:00:00",12524,0,0,0,16796,47001,
"2019-03-08 00:00:00",0,2979,0,0,6310,39224,
"2019-03-09 00:00:00",6539,0,262,0,7696,38442.42857142857,
"2019-03-10 00:00:00",14467,0,0,0,170418,59142.857142857145,
"2019-03-11 00:00:00",0,0,0,0,32614,62806.42857142857,
"2019-03-12 00:00:00",0,0,2294,0,0,60259.57142857143,
"2019-03-13 00:00:00",21424,0,2727,1666,145604,63475,
"2019-03-14 00:00:00",16747,0,0,0,0,61678.71428571428,
