"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",50719,46038,0,0,0,,
"2019-01-02 00:00:00",153731,85526,464,0,123293,,
"2019-01-03 00:00:00",131405,52056,0,0,1612,,
"2019-01-04 00:00:00",100158,46683,1752,0,146584,,
"2019-01-05 00:00:00",68018,82027,0,0,21318,,
"2019-01-06 00:00:00",320606,14257,0,0,2711,,
"2019-01-07 00:00:00",32833,73206,1126,0,90038,235166.85714285713,
"2019-01-08 00:00:00",71046,27738,0,0,149306,256786,
"2019-01-09 00:00:00",4654,0,0,0,7358,206642.85714285713,
"2019-01-10 00:00:00",76946,0,2441,0,133449,210609,
"2019-01-11 00:00:00",144821,56343,1126,0,466,197405.85714285713,
"2019-01-12 00:00:00",79150,10517,1155,0,62896,194885.14285714287,
"2019-01-13 00:00:00",155347,0,0,0,0,168852.57142857142,
"2019-01-14 00:00:00",68531,29010,1910,164,0,154911.57142857142,
"2019-01-15 00:00:00",104812,41741,1126,0,173537,165358.14285714287,
"2019-01-16 00:00:00",74700,46403,0,0,3132,181390,
"2019-01-17 00:00:00",66187,72671,0,164,193854,198538.7142857143,
"2019-01-18 00:00:00",134503,54321,1654,0,13359,198693.14285714287,
"2019-01-19 00:00:00",4071,26705,1910,0,55970,189398.57142857142,
"2019-01-20 00:00:00",78845,104014,0,0,0,193329,
"2019-01-21 00:00:00",0,62554,0,0,59112,196479,
"2019-01-22 00:00:00",74913,13052,5300,0,78997,175199.85714285713,
"2019-01-23 00:00:00",25570,36508,0,0,140525,186395.2857142857,
"2019-01-24 00:00:00",89134,66416,1910,0,33277,166089.42857142858,
"2019-01-25 00:00:00",63418,50075,0,0,72341,163517.57142857142,
"2019-01-26 00:00:00",57750,15708,0,0,0,161346.2857142857,
"2019-01-27 00:00:00",223075,0,0,0,131719,185908.2857142857,
"2019-01-28 00:00:00",0,0,0,0,0,168527.2857142857,
"2019-01-29 00:00:00",39411,163884,0,0,0,172960.42857142858,
"2019-01-30 00:00:00",46875,0,0,0,48562,157651,
"2019-01-31 00:00:00",201161,105962,1126,0,2169,174748.42857142858,
"2019-02-01 00:00:00",89657,51717,1910,186,110003,184411.14285714287,
"2019-02-02 00:00:00",24024,64515,1245,0,38827,192290.42857142858,
"2019-02-03 00:00:00",112118,0,2428,0,98142,171989.85714285713,
"2019-02-04 00:00:00",0,69583,3820,0,0,182476.14285714287,
"2019-02-05 00:00:00",88810,56845,0,164,138156,194002.14285714287,
"2019-02-06 00:00:00",98681,168936,0,0,0,218599.14285714287,
"2019-02-07 00:00:00",246459,13754,0,0,33778,216252.42857142858,
"2019-02-08 00:00:00",130621,909,3234,0,155682,221534.2857142857,
"2019-02-09 00:00:00",72074,0,1910,2928,18500,216791.57142857142,
