"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",1916,0,6681,0,0,,
"2019-01-02 00:00:00",0,0,0,0,0,,
"2019-01-03 00:00:00",703,0,0,0,0,,
"2019-01-04 00:00:00",0,0,0,0,0,,
"2019-01-05 00:00:00",0,0,0,0,0,,
"2019-01-06 00:00:00",0,2066,0,0,0,,
"2019-01-07 00:00:00",0,0,0,0,28498,5694.857142857143,
"2019-01-08 00:00:00",1943,0,0,0,37225,10062.142857142857,
"2019-01-09 00:00:00",0,0,0,0,0,10062.142857142857,
"2019-01-10 00:00:00",0,0,0,0,0,9961.714285714286,
"2019-01-11 00:00:00",6701,0,0,0,0,10919,
"2019-01-12 00:00:00",0,0,0,0,18092,13503.57142857143,
"2019-01-13 00:00:00",2160,0,0,0,0,13517,
"2019-01-14 00:00:00",0,0,0,0,109685,25115.14285714286,
"2019-01-15 00:00:00",982,0,0,0,0,19660,
"2019-01-16 00:00:00",1229,0,0,0,20470,22759.85714285714,
"2019-01-17 00:00:00",0,0,0,0,44106,29060.714285714286,
"2019-01-18 00:00:00",5826,0,0,0,0,28935.714285714286,
"2019-01-19 00:00:00",0,0,0,0,0,26351.14285714286,
"2019-01-20 00:00:00",651,0,0,0,0,26135.571428571428,
"2019-01-21 00:00:00",1229,0,0,0,0,10641.857142857143,
"2019-01-22 00:00:00",0,0,0,0,0,10501.57142857143,
"2019-01-23 00:00:00",2439,0,0,0,0,7750.142857142857,
"2019-01-24 00:00:00",0,0,0,0,0,1449.2857142857142,
"2019-01-25 00:00:00",1229,0,631,0,0,882.8571428571429,
"2019-01-26 00:00:00",1229,0,631,0,0,1148.7142857142858,
"2019-01-27 00:00:00",0,0,0,0,0,1055.7142857142858,
"2019-01-28 00:00:00",1456,0,0,0,0,1088.142857142857,
"2019-01-29 00:00:00",1229,0,0,0,0,1263.7142857142858,
"2019-01-30 00:00:00",0,0,0,0,8993,2200,
"2019-01-31 00:00:00",0,0,0,0,0,2200,
"2019-02-01 00:00:00",1229,0,0,0,0,2109.714285714286,
"2019-02-02 00:00:00",0,0,0,0,0,1843.857142857143,
"2019-02-03 00:00:00",4920,0,0,0,0,2546.714285714286,
"2019-02-04 00:00:00",4716,0,0,0,0,3012.4285714285716,
"2019-02-05 00:00:00",1229,0,0,0,42829,9130.857142857143,
"2019-02-06 00:00:00",0,0,0,0,18092,10430.714285714286,
"2019-02-07 00:00:00",1229,0,0,0,29993,14891.142857142857,
"2019-02-08 00:00:00",0,0,0,0,0,14715.57142857143,
"2019-02-09 00:00:00",0,0,0,0,0,14715.57142857143,
"2019-02-10 00:00:00",0,0,0,0,0,14012.714285714286,
"2019-02-11 00:00:00",1222,0,0,0,0,13513.57142857143,
"2019-02-12 00:00:00",1967,0,0,0,0,7500.571428571428,
"2019-02-13 00:00:00",0,975,0,0,0,5055.285714285715,
"2019-02-14 00:00:00",928,0,0,0,0,727.4285714285714,
"2019-02-15 00:00:00",0,0,0,0,9248,2048.5714285714284,
"2019-02-16 00:00:00",0,0,0,0,36185,7217.857142857143,
"2019-02-17 00:00:00",0,0,631,0,0,7308,
"2019-02-18 00:00:00",0,0,0,0,0,7133.428571428572,
"2019-02-19 00:00:00",1887,0,0,0,0,7122,
"2019-02-20 00:00:00",0,0,0,0,0,6982.714285714285,
"2019-02-21 00:00:00",1229,0,0,0,10120,8471.57142857143,
"2019-02-22 00:00:00",0,0,0,0,0,7150.428571428572,
