"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",0,0,0,0,0,,
"2019-01-02 00:00:00",778,0,0,0,0,,
"2019-01-03 00:00:00",0,0,1036,0,0,,
"2019-01-04 00:00:00",4856,0,0,0,0,,
"2019-01-05 00:00:00",0,0,1495,0,0,,
"2019-01-06 00:00:00",1894,0,0,0,0,,
"2019-01-07 00:00:00",1049,0,0,0,6068,2453.8571428571427,
"2019-01-08 00:00:00",0,0,0,0,0,2453.8571428571427,
"2019-01-09 00:00:00",778,0,839,0,28233,6607.142857142857,
"2019-01-10 00:00:00",0,0,2844,0,1888,7135.142857142857,
"2019-01-11 00:00:00",0,10170,0,0,0,7894.285714285715,
"2019-01-12 00:00:00",0,0,0,0,6068,8547.57142857143,
"2019-01-13 00:00:00",0,2338,1553,0,23927,12251.142857142857,
"2019-01-14 00:00:00",0,0,0,0,0,11234.285714285714,
"2019-01-15 00:00:00",0,0,0,0,0,11234.285714285714,
"2019-01-16 00:00:00",778,0,240,0,35449,12179.42857142857,
"2019-01-17 00:00:00",0,0,0,0,0,11503.42857142857,
"2019-01-18 00:00:00",0,0,668,0,6355,11053.857142857143,
"2019-01-19 00:00:00",0,0,0,0,37880,15598.42857142857,
"2019-01-20 00:00:00",0,0,5773,0,0,12449,
"2019-01-21 00:00:00",0,0,0,0,0,12449,
"2019-01-22 00:00:00",0,0,0,1573,0,12673.714285714286,
"2019-01-23 00:00:00",0,45102,2607,0,4411,14910,
"2019-01-24 00:00:00",0,0,0,0,0,14910,
"2019-01-25 00:00:00",0,0,0,0,0,13906.714285714286,
"2019-01-26 00:00:00",0,0,0,1573,0,8720,
"2019-01-27 00:00:00",3874,0,2123,0,0,8752.142857142857,
"2019-01-28 00:00:00",0,0,1036,0,4411,9530.285714285714,
"2019-01-29 00:00:00",0,0,173,0,0,9330.285714285714,
"2019-01-30 00:00:00",778,0,13158,0,4757,4555,
"2019-01-31 00:00:00",0,0,0,4950,0,5262.142857142857,
"2019-02-01 00:00:00",778,0,1794,0,4411,6259.857142857143,
"2019-02-02 00:00:00",0,10170,0,0,0,7488,
"2019-02-03 00:00:00",778,0,0,0,0,6742.285714285715,
"2019-02-04 00:00:00",0,0,462,0,0,6030.142857142857,
"2019-02-05 00:00:00",0,0,0,0,0,6005.428571428572,
"2019-02-06 00:00:00",0,0,1754,0,1763,3837.4285714285716,
"2019-02-07 00:00:00",0,0,1423,0,0,3333.5714285714284,
"2019-02-08 00:00:00",0,37485,0,0,0,7690.857142857143,
"2019-02-09 00:00:00",0,0,13733,0,0,8199.857142857143,
"2019-02-10 00:00:00",2518,0,0,0,0,8448.42857142857,
"2019-02-11 00:00:00",0,17350,2072,0,0,11157.142857142857,
"2019-02-12 00:00:00",2884,22814,0,0,0,14828.285714285714,
"2019-02-13 00:00:00",778,0,0,0,0,14436.857142857143,
"2019-02-14 00:00:00",0,0,0,0,0,14233.57142857143,
"2019-02-15 00:00:00",0,0,0,0,0,8878.57142857143,
"2019-02-16 00:00:00",4263,0,0,0,0,7525.714285714285,
"2019-02-17 00:00:00",778,0,0,0,0,7277.142857142857,
"2019-02-18 00:00:00",0,19955,0,0,0,7353.142857142857,
"2019-02-19 00:00:00",0,0,5983,0,0,4536.714285714285,
"2019-02-20 00:00:00",778,0,0,0,15843,6800,
"2019-02-21 00:00:00",0,32678,0,0,0,11468.285714285714,
"2019-02-22 00:00:00",0,0,2338,0,0,11802.285714285714,
"2019-02-23 00:00:00",0,0,0,0,0,11193.285714285714,
"2019-02-24 00:00:00",959,56290,8882,0,1048,20679.285714285714,
"2019-02-25 00:00:00",0,0,2669,0,0,18209.85714285714,
"2019-02-26 00:00:00",2357,0,1036,0,4411,18470,
"2019-02-27 00:00:00",778,0,1212,0,0,16379.857142857143,
"2019-02-28 00:00:00",0,0,901,2030,4024,12705.285714285714,
"2019-03-01 00:00:00",2069,0,0,0,0,12666.857142857143,
"2019-03-02 00:00:00",1476,0,1036,0,4411,13655.857142857143,
"2019-03-03 00:00:00",1951,0,3120,0,0,4783.285714285715,
"2019-03-04 00:00:00",0,0,8437,0,0,5607.285714285715,
"2019-03-05 00:00:00",0,0,0,0,0,4492.428571428572,
"2019-03-06 00:00:00",0,28227,0,0,0,8240.57142857143,
"2019-03-07 00:00:00",0,0,1569,0,38465,12966,
"2019-03-08 00:00:00",0,0,6154,0,0,13549.57142857143,
