"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",0,0,0,0,51417,,
"2019-01-02 00:00:00",288760,3031,0,0,0,,
"2019-01-03 00:00:00",0,2383,825,0,0,,
"2019-01-04 00:00:00",54734,0,0,0,0,,
"2019-01-05 00:00:00",142113,2383,0,0,544,,
"2019-01-06 00:00:00",98094,0,0,0,87259,,
"2019-01-07 00:00:00",50366,0,2113,0,25265,115612.57142857143,
"2019-01-08 00:00:00",114447,2383,0,2592,26162,129065.14285714286,
"2019-01-09 00:00:00",91453,26599,0,0,54150,111981.14285714286,
"2019-01-10 00:00:00",63383,0,1098,0,544,120812.14285714286,
"2019-01-11 00:00:00",75459,0,2113,0,0,124074.85714285714,
"2019-01-12 00:00:00",22771,0,0,0,27732,110569.57142857143,
"2019-01-13 00:00:00",40042,0,0,0,0,89810.85714285714,
"2019-01-14 00:00:00",68314,0,2202,851,0,88900,
"2019-01-15 00:00:00",63536,0,3154,0,386,77684.57142857143,
"2019-01-16 00:00:00",129104,0,0,0,0,71527.57142857143,
"2019-01-17 00:00:00",50150,2383,0,851,7185,70891,
"2019-01-18 00:00:00",62568,0,0,0,18080,71330.28571428571,
"2019-01-19 00:00:00",23665,0,573,0,2732,67968.71428571429,
"2019-01-20 00:00:00",0,2383,0,0,9983,64015,
"2019-01-21 00:00:00",156780,0,0,0,8398,77416.57142857143,
"2019-01-22 00:00:00",0,0,1932,0,0,68110.14285714286,
"2019-01-23 00:00:00",78653,0,0,0,51417,68248.28571428571,
"2019-01-24 00:00:00",3745,0,573,0,0,60212.28571428572,
"2019-01-25 00:00:00",202163,0,0,0,0,77571.57142857143,
"2019-01-26 00:00:00",66711,8112,0,0,31974,88975.14285714286,
"2019-01-27 00:00:00",22771,0,0,0,0,90461.57142857143,
"2019-01-28 00:00:00",176692,0,720,2368,0,92547.57142857143,
"2019-01-29 00:00:00",126750,0,0,0,51417,117724,
"2019-01-30 00:00:00",138210,36325,0,0,52868,131628.7142857143,
"2019-01-31 00:00:00",78150,0,2113,0,7703,143578.42857142858,
"2019-02-01 00:00:00",73011,0,3647,1329,0,125839.14285714286,
"2019-02-02 00:00:00",75519,0,0,0,359,121422.14285714286,
"2019-02-03 00:00:00",139276,0,0,0,9918,139482.57142857142,
"2019-02-04 00:00:00",82531,0,4469,0,42809,132344,
"2019-02-05 00:00:00",18593,2383,0,851,2732,110400.14285714286,
"2019-02-06 00:00:00",78461,1308,0,0,0,89309.57142857143,
"2019-02-07 00:00:00",15678,0,218,0,0,79013.85714285714,
"2019-02-08 00:00:00",0,0,0,2942,7185,69319.42857142857,
"2019-02-09 00:00:00",226562,0,573,0,2732,91318,
